Disease,S1,S2,S3,S4,S5,S6
"Restless legs syndrome, susceptibility to, 4",Abnormal sensations in legs,Painful leg sensations,Sudden muscle jerks,Urge to move legs,Leg crawling,Leg pulling sensation
"Restless legs syndrome, susceptibility to, 3",Abnormal sensations in legs,Painful leg sensations,Sudden muscle jerks,Urge to move legs,Leg crawling,Leg pulling sensation
"Restless legs syndrome, susceptibility to, 2",Abnormal sensations in legs,Painful leg sensations,Sudden muscle jerks,Urge to move legs,Leg crawling,Leg pulling sensation
"Restless legs syndrome, susceptibility to, 1",Abnormal sensations in legs,Painful leg sensations,Sudden muscle jerks,Urge to move legs,Leg crawling,Leg pulling sensation
Restless legs syndrome,Sleep onset insomnia,Cold feet,Daytime sleepiness,Unpleasant leg sensation,Cold lower legs,Abnormal sensations in legs
Bazopoulou-kyrkanidou syndrome,Short face,Iga deficiency,Destruction of tooth socket,Broad head,Fused cervical vertebrae,Tooth anomalies
Occupational metal-induced liver damage -- lanthanides,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational metal-induced liver damage -- lead,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational metal-induced liver damage -- hydrazines,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational metal-induced liver damage -- iron,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Neuroblastoma,Bone pain,High blood pressure,Tumors,"Large, painless neck lump",Type of neuroblastoma,Diarrhea
Esmolol -- teratogenic agent,Oral clefts,Limb reduction defects,Bradycardia,Retarded fetal growth,Heart defect,Hypospadias
Winship viljoen leary syndrome,Microcephaly,Small head,Learning difficulties,Mental retardation,,
Myoclonic dystonia,Myoclonic jerks,Panic attacks,Alcohol abuse,Dystonia,Obsessive-compulsive behaviors,Writer's cramp
"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature",Short statures,Dry rough skin,Delayed puberty,Hypogonadism,Mental retardation,
Myhre syndrome,Short long bones,Unusual facies,Small  mouth,Prognathism,Short eyelids,Decreased joint mobility
Mrkh syndrome,Absence of menstruation,Underdeveloped or absent upper portion of vagina,Abnormally developed mullerian duct derivatives,Difficulty engaging in sexual intercourse,Underdeveloped or absent uterus,
Mps 3 d,Loss of motor skills,Hirsuitism,Behavioral disorders,Coarse face,,
Msbd syndrome,Lymphedema,Bone pain in affected limb,Osteosclerosis,Hypertension,Limb deformity in affected limb,Restricted movement in affected limb
Mrxs9,Short statures,Strabismus,Small head,Learning difficulties in female carriers,Mental retardation,
Iodine -- teratogenic agent,Enlarged heart,Hypothyroidism,Retarded fetal growth,Goiters,,
Non-food allergy -- sorrel,Sinus pain,Conjunctivitis,Cough,Nose rubbing,Breathing difficulties,Headaches
Non-food allergy -- sweet chestnut tree,Sinus pain,Conjunctivitis,Cough,Nose rubbing,Breathing difficulties,Headaches
Muenke syndrome,Hand abnormalities,Flattened cheekbones,Feet abnormalities,Abnormal head shape,Wide set eyes,
Erythropoietin-induced hypertension,Nausea,General feeling of unwellness,Dizziness,Palpitations,Anxiety,Double vision
Erythropoietic protoporphyria,Itchy sun-exposed skin,Burning sun-exposed skin,Red sun-exposed skin,Swelling of sun-exposed skin,Mild hypochromic anemia,Excessive fecal protoporphyrin
Aminopterin and methotrexate -- teratogenic agent,Limb defects,Low birth weight,Pregnancy loss,Central nervous system defecs,Weak face muscles,Swelling of the brain (hydrocephalus)
Primary orthostatic tremor,Muscle tremors in legs,Discomfort while standing,Difficulty standing up,Unsteadiness,,
Erythrokeratodermia with ataxia,Dysarthria,Red skin plaques,Reduced reflexes,Awkward gait,Abnormal walk,Hard red skin plaques
Erythrokeratodermia symmetrica progressiva,Itchy lesions,Symmetrical skin redness,Orange margin around lesions,Acanthosis,Itching,Thickened outer skin layer
Sea anemone larvae envenomation,Itchy skin rash,Red scaly skin rash,Raised bumpy rash,Blistered skin,Skin rashes,
Pepcid -- teratogenic agent,Double outlet right ventricle,Hydrocephaly,Neural tube defect,Underdeveloped hand,Anencephaly,
Glossopalatine ankylosis -- hypoglossia -- hypodactylia,Small  mouth,Breathing problems in some cases,Defective tooth enamel,Speech problems,Some teeth missing,Underdeveloped tongue
Glossopalatine ankylosis -- hypoglossia -- hypodactylomelia,Small  mouth,Breathing problems in some cases,Defective tooth enamel,Speech problems,Some teeth missing,Underdeveloped tongue
Pentalogy of cantrell,Midline supraumbilical abdominal wall defect,Anterior diaphragmatic pericardium defect,Lower sternum defect,Congenital heart malformations,,
Phenylketonuria -- teratogenic agent,Small head,Congenital heart defects,Pregnancy loss,Weak face muscles,Mental retardation,
Chemical poisoning -- triethanolamine,Sore throat,Skin redness,Cough,Skin irritation,Eye irritation,Red eyes
Chemical poisoning -- uranium,Fluid in lungs,Elevated bun,Kidney damage,Shortness of breath or wheezing,Dermatitis,Albuminuria
Chenile plant poisoning,Nausea,Diarrhea,Abdominal pain,Skin irritation,,
Congenital tracheal stenosis,Narrow trachea,Congenital,Underdeveloped trachea,Cyanotic episodes,,
Congenital toxoplasmosis,Enlarged liver,Abnormal bleeding,Rashes,Pneumonitis,Small head,Hearing loss
Mescal poisoning,Dizziness,Hallucinations,Illusions,Headaches,Chest pain,Dilated pupils
Bile duct cancer,Nausea,Enlarged liver,Abdominal pain,Fever,,
Bile duct cysts,Bile duct obstruction,Abdominal discomfort,Recurring jaundice,Abdominal pain,Dark urine,Pale stool
"Bile duct cancer, extrahepatic",Itchy skin,Jaundice,Abdominal pain,Fever,,
Aortic valve stenosis,Fainting,Palpitations,Orthopnea,Chest pain,Exercise intolerance,Breathlessness associated with activity
Familial hypercholesterolemia,Yellowish skin lesions around eye - fatty deposits,Tendon lumps - fatty deposits,Premature cardiovascular disease,High cholesterol level,,
"Autoimmune enteropathy, type 1",Hyperthyroidism,Malabsorption,Autoimmune hemolytic anemia,High ige levels,Generalized wasting,Severe infections
Boutonneuse fever,Enlarged liver,Rashes,Headaches,Increased alkaline phosphatase level - in a third of patients,Chills,Malaise
Bovine spongiform encephalopathy,Spastic dysarthria,Athetosis,Muscle wasting,Dementia,Tremors,
Comel-netherton syndrome,Short hair,Itchy skin rash,Dry skin,Sparse hair,Lusterless hair,Generalized skin redness
Common migraine,Nausea,Sensitivity to light,Vision disturbances,Headaches,Aura,Mental fuzziness
Abscess,Local swelling,Local pain,Soft lump under the skin,Local soreness,Local redness,Fever
Abrikosov's tumor,Lip nodule,Tongue nodule,Genital tract nodule,Oral tissue nodule,Pink to grayish nodule,"Firm, round nodule"
Abidi x-linked mental retardation syndrome,Short statures,Hearing loss,Small head circumference,Small testicles,Sloping forehead,Cupped ears
Trumpet creeper poisoning,Nausea,Skin redness,Diarrhea,Skin swelling,Abdominal pain,Skin irritation
Cheilitis glandularis,Enlarged lower lip mucosal glands,Enlarged lower lip salivary ducts,Thick secretions from lip,Enlarged lower lip,Ulcer inside lip,Burning lip sensation
Photoallergic eruption,Nausea,Headaches,Chills,Skin rashes,,
Oral pharyngeal disorders,Mouth clefts,Pharyngitis,Sore mouth,Oral lumps,Bleeding,Salivary gland problems
Oral lichenoid lesions,Mouth blisters,Mouth redness,Mouth sensitivity,Lesions in mouth,Mouth pain,
Polypoid degeneration,Masculine voice in women,Rough voice,Raspy voice,Low pitched voice,Husky voice,
Mucopolysaccharidosis vii,Intellectual impairment,Skeletal irregularities,Liver enlargement,Spleen enlargement,Cloudy corneas,
Mucopolysaccharidosis vi,Joint deformities,Abnormal head shape,Heart murmurs,Macroglossia,Increased abdominal girth,Short neck
Microvascular angina,Weakness in the left arm,Numbness in left arm,Chest tightness,Breathlessness,Chest pain,Squeezing chest sensation
Drug-induced liver damage -- colchicine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Drug-induced liver damage -- cimetidine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Drug-induced liver damage -- disulfiram,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Drug-induced liver damage -- diflunisal,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Drug-induced liver damage -- dantrolene,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Leukodystrophy,Neck stiffness,Behavioral problems,Reduced vison,Kyphosis,Reduced muscle tone,Cardiac arrhythmias
Malignant fibrous histiocytoma,Painless soft tissue swelling,Difficulty using part of limb,Pain due to compressed nerves,Pain due to compressed muscles,Limping,
Facet syndrome,Difficulty turning head,Radiating back pain,Headaches,Loss of range of motion of spine,Pain radiating to buttocks,Pain radiating to back of thighs
Cleft palate,Split in the upper palate,Split in the upper lip,Difficulty drinking,Speech defects,Swallowing difficulties,
Kumar levick syndrome,Missing bones in ends of fingers,Underdeveloped metacarpals,Finger like thumbs,Missing metacarpals,Underdeveloped metatarsals,Missing nails
Chemical poisoning -- denatonium benzoate,Lung toxicity,Skin irritation,Eye irritation,Damage to mucous membranes,,
Enteroviruses,Rashes,Flu-like illness,Muscle aches,Fever,,
Venous insufficiency,Leg heaviness,Leg fatigue,Varicose veins,Leg redness,Cramping,Burning sensation in leg
Venous thrombosis,Swelling in affected area,Tenderness in affected area,Increased warmth in affected area,Altered skin color in affected area,Pain in affected area,
Papilledema,Nausea,Headaches,Transient loss of vision,Reduced field of vision,,
Lion's mane jellyfish poisoning,Burning skin,Muscle cramps,Localized redness,Breathing difficulties,Intense localized pain,Skin blistering
Chemical poisoning -- di-n-octyl phathalate,Coma,Reduced blood pressure,Gastrointestinal irritation,Eye irritation,Cns depression,Mucous membrane irritation
Follicular dendritic cell sarcoma,Cough,Enlarge lymph nodes,Neck mass,Swallowing difficulties,,
Chemical poisoning -- dibenzoyl peroxide,Sore throat,Cough,Red skin,Dermatitis,Skin irritation,Eye irritation
Chemical poisoning -- dichlorphenamide,Nausea,Paresthesia,Ringing in ears,Shaking,Dizziness,Reduced appetite
Chemical poisoning -- dichloronaphthoquinone,Nausea,Skin irritation,Eye irritation,Cns depression,Mucous membrane irritation,
Chemical poisoning -- dibromochloromethane,Cough,Confusion,Shortness of breath,Labored breathing,,
"Medullary cystic kidney disease, dominant",Salt cravings,Salt wasting,Night urination,High blood uric acid level,Impaired kidney function,Inflammation of parts of the kidney
"Amyotrophic lateral sclerosis, 9",Muscle cramps,Wasting of muscle tissue,Progressive thinning of arms,Progressive thinning of legs,Progressive weakness,Muscle stiffening
Bibliomania,Reduced anxiety brought on by collecting books,Unnecessarily large collection of books,Obsessive collection of books,Collects an abnormal amount of books,Feelings of relief upon collecting books,
Inflammatory bowel disease 4,Nausea,Aphthous ulcers,Chronic bowel inflammation,Blood in stool,Weight loss,Diarrhea
Inflammatory bowel disease 26,Nausea,Aphthous ulcers,Chronic bowel inflammation,Blood in stool,Weight loss,Diarrhea
Parakeet allergy,Nausea,Sore throat,Watery eyes,Eczema,Itchy skin,Breathing difficulties
Inflammatory bowel disease 25,Nausea,Aphthous ulcers,Chronic bowel inflammation,Blood in stool,Weight loss,Diarrhea
Acute gastritis,Nausea,Muscle aches (myalgia),Blood in stool,Mucous in vomit,Headaches,Diarrhoea
Chemical poisoning -- methane,Cough,Frostbit on contact with liquid,Blurred vision,Cns depression,Rapid breathing,Suffocation
Goodman camptodactyly,Camptodactyly,Congenital heart malformations,Abnormal curvature of digits,Ulnar deviation,,
"Blood coagulation disorders, inherited",Easy bruising,Thrombosis,Abnormal blood clotting,Excessive bleeding,,
Blind loop syndrome,Muscle cramps,Fatty stools,Megaloblastic anemia,Vitamin deficiencies,Abdominal distention or discomfort,Malabsorption
Gorham's syndrome,Hemangiomas,Osteoporosis,Chylous pleural effusion,Progressive bone resorption,Fractures,Massive bone destruction
Achalasia microcephaly,Small head,Cardiospasm,Intellectual deficits,Enlarged esophagus,Recurring vomiting,Impaired peristalsis
"Achalasia, familial esophageal",Night-time cough,Chest pain,Dysphagia,Swallowing difficulties,Achalasia,Dilated esophagus
Glutamate-cysteine ligase deficiency,Gamma-glutamylcysteine synthetase deficiency,Glutathione deficiency,Peripheral neuropaty,Hemolytic anemia,,
Vaccinia keratitis,Sensitivity to light,Eye pain,Watering eyes,Red eyes,Corneal lesions,Itchy eyes
Achalasia,Regurgitation of stomach contents,Esophageal dilation,Chest pain,Regurgitation,Feeling of fullness,Swallowing difficulties
Intraocular melanoma,Dark spots in whites of eyes,Pigmented spots on iris,Altered color perception,Distorted vision,Flashing lights,Vision loss
Toxic megacolon,Abdominal tenderness,Abdominal bloating,Dilated colon,Abdominal pain,Fever,
Lissencephaly type 2,Smooth pebbled brain surface appearance,Underdeveloped brain - cerebellum,Underdeveloped brainstem,Enlarged ventricles,Absent corpus callosum,
"Lissencephaly, x-linked, 1",Growth failure,Small penis,Infant death,Lissencephaly,Pachygryria-agyria,Mental retardation
Gardner syndrome,Benign growths inside bones,Fibromas,Dermoid tumors,Osteomatosis,Fibrous dysplasia of the lower jaw bone,Extra teeth
"Pyruvate carboxylase deficiency, group c",Mild increase in blood lactic acid levels,Increased pyruvate level,Intermittent hypoglycemia,Ketosis,,
Annular pancreas,Nausea,Excess amniotic fluid during pregnancy,Fullness following eating,Infant feeding problems,,
Iga pemphigus,Skin pustules,Reddened skin,Skin erosions,Itching,,
Microcephaly -- facial clefting -- preaxial polydactyly,Small head,Cleft palate,Extra digits,Failure to thrive,Cognitive delay,Developmental delay
"Mucopolysaccharidosis, type 9",Short statures,Impaired growth,Flattened nose bridge,Cleft palate,Lumps around joints,Painful joint swelling
Hamartomatous colorectal cancer,Bowel obstruction,Changes in bowel habits,Bleeding,Peritonitis,Pelvic pain,Abdominal bloating
"Atrial fibrillation, familial 1",Abnormal heart rhythm,Fainting,Dizziness,Palpitations,Chest pain,Pounding sensation in chest
Therapeutic radiation -- teratogenic agent,Small head,Impaired brain development,Childhood leukemia,Retarded growth,Retarded development,
Lurie-kletsky syndrome,Fluid buildup inside skull,Fetal hydrops,Scalp defects,Corpus callosum agenesis,Cystic hygroma,Diaphragmatic hernia
Clark-baraitser syndrome,Large head,Gap in front teeth,Square forehead,Large ears,Prominent lower lip,Prominent eyebrows
Autoimmune diseases of the nervous system,Movement problems,Paralysis,Numbness,Peripheral neuropathies,Vision impairments,Impaired sensation
Juvenile nephronophthisis,Polyuria,Metabolic acidosis,End-stage kidney disease usually by 10-13 years of age,Enuresis,Renal salt wasting,Kidney failure
Dehydration,Dry mouth,Muscle cramps,Reduced urine,Blood loss,Light headedness,Dry skin
Declomycin -- teratogenic agent,Underdeveloped limbs,Extra digits,Limb reduction defects,Heart defect,Hypospadias,Clubfoot
Declostatin -- teratogenic agent,Underdeveloped limbs,Extra digits,Limb reduction defects,Heart defect,Hypospadias,Clubfoot
Wright dyck syndrome,Paresthesia,Hearing difficulties,Ankle deformities,Muscle weakness,Memory problems,Sensory loss
Chemical poisoning -- n-butyl chloride,Nausea,Sore throat,Skin redness,Cough,Skin irritation,Eye irritation
Brachydactyly -- dwarfism -- mental retardation,Short fingers,Small head,Hearing loss,Dwarfism,Mental retardation,
Tritanopia,Abnormal blue cone electroretinogram,Impaired yellow vision,Impaired blue vision,Normal red and green vision,,
"Macular dystrophy, retinal, 1, north carolina type",Aversion to bright lights,Changes in macula,Foveal changes,Blurred vision,Reduced visual acuity,Nystagmus
Twisted atrioventricular connections,Systolic murmurs,Heart twisted along longitudinal axis,Heart defect,Cyanosis,,
Heparin -- teratogenic agent,Extra digits,Retarded fetal growth,Heart defect,Hypospadias,,
"Renal tubular acidosis, distal",Abnormal heart rhythm,High blood acidity,Feeding problems,Hypercalciuria,Excessive urine alkalinity,Reduced urine acidity
Devic disease,Acute vision loss,Loss of sphincter control,Progressive ascending myelitis,Softening of brain white matter,Softening of brain grey matter,Softening of spinal cord matter
Familial emphysema,Barrel-chestedness,Blue skin,Breathing difficulties,Blue lips,Shortness of breath or wheezing,Symptoms of emphysema
Glycogen storage disease type 2b,Abnormal heart rhythm,Fainting,Proximal muscle weakness,Palpitations,Muscle wasting,Chest pain
Renal mucormycosis,Flank pain,Chills,Urination pain,Fever,Enlarged kidneys,Blood in urine
Psoriasis susceptibility 7,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Melorheostosis,Paresthesia,Limb deformities,Intermittent joint swelling,Reduced range of motion in affected limbs,Thickening of outer layer of bone,Skin changes over affected bones
Glycogen storage disease iib -- formerly,Abnormal heart rhythm,Fainting,Proximal muscle weakness,Palpitations,Muscle wasting,Chest pain
Small bowel bacterial overgrowth syndrome,Nausea,Fatty stools,Excess gas,Floating stool,Malabsorption,Distended stomach
Factor vii deficiency,Heavy menstrual bleeding,Easy bruising,Excessive bleeding following tooth extraction,Brain hemorrhages,Hemorrhage following injury,Brain hemarthroses
Hyperlipoproteinemia,Cholesterol deposits around cornea,High ldl,Whitish edges of cornea,Yellowish patches around eyelids,"Lumps on tendons - mainly hands, feet and achilles tendon",High cholesterol level
Hyperopia,Holding newspaper further away from the eyes,Difficulty focusing on near ojects,Difficulty focusing for reading,Far-sightedness,No difficulty focusing on far away objects,Near objects are blurry
Miller syndrome,Protruding ears,Underdeveloped limbs,Missing digits,Cleft palate,Small jaw,Drooping lower eyelids
Kidney damage -- aminoglycosides,Kidney dysfunction,Kidney damage,Proteinuria,Impaired electrolyte balance,Increased blood urea level,Enzymuria
Moccasin snake poisoning,Nausea,Fainting,Localized pain,Localized redness,Anxiety,Red skin along lymphatic drainage system
Hemochromatosis type 3,Abnormal heart rhythm,Enlarged liver,Absence of menstruation,Hair loss,Abdominal pain,Joint pain
Hemochromatosis type 4,Abnormal heart rhythm,Enlarged liver,Abdominal pain,Joint pain,Bronze colored skin,Loss of sex drive
Hemochromatosis type 1,Abnormal heart rhythm,Enlarged liver,Abdominal pain,Joint pain,Bronze colored skin,Loss of sex drive
Mesquite buck moth caterpillar poisoning,Sensitivity to light,Hypersensitivity reaction,Conjunctivitis,Itchy skin,Bronchospasm,Pain at site of sting
"Glucose transport defect, blood-brain barrier",Spasticity,Impaired language development,Delayed development,Small head,Sudden hemiparesis,Sudden lethargy
Parkes-weber syndrome i,Enlarged limb,Enlarged veins,Capillary malformations,Abnormal opening between artery and vein,Warm skin on affected limb,Vein malformations
Tricho-retino-dento-digital syndrome,Reduced  body hair,Short fingers,Some teeth missing,Extra teeth,Woolly hair,Tooth anomalies
Epstein's syndrome,Heavy menstrual bleeding,Nephritis,Thrombocytopenia,Gastrointestinal bleeding,Minor bleeding problems,Nose bleeding
"Cerebral amyloid angiopathy, familial",Dementia,Brain hemorrhages,Spastic paralysis,Ataxia,Strokes,
Brissaud-marie syndrome,Bseudoblindness,Pseudodiplopia,Pseudoptosis,Pseudoseizures,Psychogenic movement disorder,Hysterical aphonia
Ischio-spinal dysostosis -- rib gaps -- nephroblastomatosis,Fused vertebrae,Kidney dysfunction,Butterfly vertebrae,Underdeveloped ischial bones,Nephroblastomatosis,Vertebral anomalies
Antibiotics-induced liver damage -- novobiocin,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Chemical poisoning -- rotenone,Nausea,Death,Numbness,Runny nose,Numbness in mouth,Dermatitis
Spine osteoarthritis,Joint inflammation,Swollen joints,Joint redness,Enlarged joints,Movement difficulty,Crunching feeling in joint
Benign essential blepharospasm,Sensitivity to light,Eye muscle spasms,Progressive worsening of eyelid spasms,Occasional eye blinking,Involuntary eye muscle contraction,Decreased facial muscle tone
Empty sella syndrome,Short statures,Increased bone density,Headaches,Vision problems,Unusual facial features,
"Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorinural hearing loss",Optic atrophy,Reduced reflexes,Sensorineural hearing loss,Cerebellar ataxia,Impaired vision,High foot arches
Hematochromatosis,Bronze diabetes,Cardiac enlargement,Severe fatigue,Impotence,Liver cirrhosis,Arthralgias
Celiac disease -- epilepsy -- occipital calcifications,Malabsorption,Gastrointestinal tract abnormalities,Celiac disease,Impaired vision,Seizures,Cerebral calcifications
Celiac disease,Bone pain,Muscle cramps,Dermatitis herpetiformis,Absence of menstruation,Numbness (legs from nerve damage),Tingling (legs from nerve damage)
Herbal agent adverse reaction -- maté,Dry mouth,Disorientation,Flushed skin,Dilated pupils,Urinary retention,Fever
Herbal agent adverse reaction -- nettles,Paresthesia,Itchy skin,Urticaria,Skin irritation,Burning skin sensation,
Pineal teratoma,Eye pain,Double vision,Headaches,Chemical meningitis if tumor ruptures,Insomnia,Altered sleeping patterns
Syringomelia,Spasticity,Impaired sexual function,Loss of autonomy,Sensory disturbances,Lack of sensation,Increased sensation
Craniosynostosis -- brachysyndactyly of hands and absence of toes,Short fingers,Craniosynostosis,Cleft palate,Weak face muscles,Wide set eyes,Mental retardation
Grapeleaf skeletonizer caterpillar poisoning,Sensitivity to light,Hypersensitivity reaction,Conjunctivitis,Itchy skin,Bronchospasm,Pain at site of sting
"Familial adenomatous polyposis, autosomal dominant",Blood in stool,Changes in bowel habits,Predisposition for developing stomach cancer,Predisposition for developing duodenal cancer,Predisposition for developing colon cancer,Predisposition for developing rectal cancer
Hyperfunction voice disorder,Constant throat clearing,Pain when speaking,Speaking difficulty,Breathy voice,Ulcer on vocal processes,Impaired voice quality
Baby rattle pelvic dysplasia,Protruding abdomen,Tall ilia,Broad ilia,Divided ends of long bones,Underdeveloped midface,Pulmonary hypoplasia
Chemical worker's lung (trimellitic anhydride),Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
"Diabetes mellitus, insulin-dependent, susceptibility to, 24",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 23",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 21",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
Type i hypersensitivity,Anaphylaxis,Hives,Conjunctivitis,Atopic dermatitis,Skin swelling,Allergic rhinitis
"Chromosome 1, monosomy 1q32 q42",Short statures,Small head,Anteverted nostrils,Abnormal ear shape,Short nose,High vaulted palate
"Mesomelic dysplasia, camera type",Esophageal atresia,Reduced elbow extension,Coxa valga,Epicanthal folds,Smaller than average height,Cup shaped ears
Beardwell syndrome,Calluses on soles,Abnormal bone formation along vertebrae,Limited spine movement,Sclerosis of sacroiliac joints,Calluses on palms,
"Spondyloepimetaphyseal dysplasia, micromelic",Short fingers,Short limbs,Short rib cage,Dwarfism,Mental retardation,Short neck
"Ehlers-danlos syndrome, 6b",Hyperextensible skin,Easy bruising,Infant scoliosis,Joint laxity,Inguinal hernias,Kyphosis
Oesophagostomiasis,Nausea,Enlarged liver,Liver inflammation,Fluid in pericardium - severe cases,Inflammation around spleen - severe cases,Enlarged apendix - severe cases
Farmer's lung,Increased number of white blood cells in blood,Cough,Breathing difficulties,Diffuse rales,Malaise,Fever
"Male reproductive toxicity -- 1,2-dibromo-3-chloropropane (dbcp)",Infertility,Lack of sperm,Reproductive toxicity,Reduced sperm,,
Leydig cells hypoplasia,Small penis,Blind ending vagina,Absence of menstruation,Hypogonadism,Hypospadias,Underdeveloped leydig cells
Malignant teratocarcinosarcoma,Breathing difficulties,Nasal obstruction,Double vision,Headaches,Nose pain,Protruding eyes
Wrist osteoarthritis,Joint inflammation,Swollen joints,Joint redness,Enlarged joints,Movement difficulty,Crunching feeling in joint
"Diabetes mellitus, insulin-dependent, susceptibility to, 4",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 7",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 6",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
Balantidiasis,Nausea,Intestinal ulcers,Abdominal pain,Fever,Bloody diarrhea,
Von gierke disease ib,Enlarged liver,Growth failure,Reduced number of neutrophils in blood,Hypertension,Yellowish red spots on legs,Diarrhea
Rapp-hodgkin syndrome,Reduced number of sweat pores,Small  mouth,Low nose bridge,Narrow nose,Hypopsadias,Small nails
Dupuytren's contracture,Inability to straighten finger,Hand contracture,Pain in fingers,Nodular thickening of palms,Dimpling of skin on palms,Fingers drawn into palms
Mohave rattle snake poisoning,Nausea,Paresthesia,Low blood pressure,Fainting,Breathing difficulties,Double vision
Corticosteroid-induced hypertension,Nausea,General feeling of unwellness,Dizziness,Palpitations,Anxiety,Double vision
Lung cancer susceptibility 1,Loss of appetite,Recurring pneumonia,Swollen face,Chest pain,Tiredness,Shortness of breath or wheezing
King-denborough syndrome,Short statures,Pigeon chest,Underdeveloped cheek bones,Small jaw,Drooping upper eyelids,Kyphoscoliosis
Hyde-forster-mccarthy-berry syndrome,Short head,Movement disorders,Mental retardation,Flat side of skull,Coarse face,Prominent forehead
Finger osteoarthritis,Joint inflammation,Swollen joints,Joint redness,Enlarged joints,Movement difficulty,Crunching feeling in joint
Knee osteoarthritis,Joint inflammation,Swollen joints,Joint redness,Enlarged joints,Movement difficulty,Crunching feeling in joint
Erythema chronicum migrans,Nausea,Headaches,Expanding ring of redness around site of bit,Chills,Stiff neck muscles,Bull's eye rash
Isosporiasis,Oocytes in feces,Malabsorption,Diarrhea,Abdominal pain,Fever,Eosinophilia
May-hegglin anomaly,Heavy menstrual bleeding,Easy bruising,Gums that bleed easily,Bleeding inside the brain,Minor hemorrhages,Mild leukopenia
Arthrogryposis,Extended knees,Multiple joint contractures,Flexed fingers,Underdeveloped muscles,Muscle paralysis,Reduced facial gesticulation
"Surfactant metabolism dysfunction, pulmonary, 1",Breathing difficulties,Non-breathing periods (apnea),Failure to thrive,Finger clubbing,Interstitial lung thickening and fibrosis,Cyanosis
Adrenal hypertension,Nausea,General feeling of unwellness,Dizziness,Palpitations,Anxiety,High blood pressure
Very long chain acyl coa dehydrogenase deficiency -- early onset,Enlarged liver,Reduced muscle tone,Floppy infants,Exercise intolerance,Muscle weakness,Muscle pain when exercising - in elderly
"Myasthenia, familial infantile, 1",Strabismus,Muscle wasting,Breathing difficulties,Weak cry in infants,Slow muscle recovery after activity,Arthrogryposis multiplex - severe cases
"Cystic hygroma, lethal -- cleft palate",Cleft palate,Infant death,Lymphatic system cysts,Stillbirth,Lumps in the neck,
"Hypertension, essential",Nausea,Anxiety,Visual changes,Headaches,Chest pain,Confusion
Plant poisoning -- quinolizidine alkaloids,Nausea,Reduced blood pressure,Intestinal paralysis,Seizures,,
Woolly hair -- palmoplantar keratoderma -- dilated cardiomyopathy,Reduced sweating in palms,Reduced sweating in soles,Dilated cardiomyopathy,Woolly hair,Dilated ventricles,Thickened skin on palms
Polysyndactyly orofacial anomalies,Oral anomalies,Extra digits,Facial anomalies,Webbed digits,Mouth anomalies,
"Thyrotropin deficiency, isolated",Short statures,Cretinism,Hyponatremia,Dry skin,Thyrotropin deficiency,Constipations
Non-diarrheal (d-) hus syndrome,Uremia,Thrombocytopenia,Severe hypertension,Irritability,Hemolytic anemia,Protein in urine
Sezary syndrome,Skin redness,Enlarge lymph nodes,Leukemia,Dystrophic nails,Swelling,Alopecia
Kuru syndrome,Muscle tremors in legs,Fecal incontinence,Abnormal extraocular movement,Slurred speech,Death in 3-6 months from onset,Aphonia
Pneumocytosis,Tachypnoea,Rigors,Chills,Malaise,Dyspnoea,
"Angiopathy, hereditary, with nephropathy, aneurysms and muscle cramps",Muscle cramps,Transient visual impairment due to retinal hemorrhage,Retinal hemorrhages,Angiopathy,Leukoencephalopathy,Aneurysms
Angiosarcoma,Bone pain,Abnormal bleeding,Cough,Breathing difficulties,Enlarge lymph nodes,Chest pain
